model,feature,importance,abs_importance,direction
Characteristics Only,categorical__hospital_type_Acute Care - Veterans Administration,0.7356376963319957,0.7356376963319957,positive
Characteristics Only,categorical__hospital_type_Acute Care Hospitals,-0.34067430096211276,0.34067430096211276,negative
Characteristics Only,categorical__hospital_type_Critical Access Hospitals,-0.3197392715047333,0.3197392715047333,negative
Characteristics Only,categorical__hospital_ownership_Government - Federal,-0.10869263692756315,0.10869263692756315,negative
Characteristics Only,categorical__hospital_ownership_Government - Hospital District or Authority,-0.6092607503797413,0.6092607503797413,negative
Characteristics Only,categorical__hospital_ownership_Government - Local,-0.3872634343850726,0.3872634343850726,negative
Characteristics Only,categorical__hospital_ownership_Government - State,-0.27068163485523344,0.27068163485523344,negative
Characteristics Only,categorical__hospital_ownership_Physician,0.402334505459126,0.402334505459126,positive
Characteristics Only,categorical__hospital_ownership_Proprietary,-0.6601473152440911,0.6601473152440911,negative
Characteristics Only,categorical__hospital_ownership_Tribal,0.7463121807433152,0.7463121807433152,positive
Characteristics Only,categorical__hospital_ownership_Veterans Health Administration,0.7356376963319957,0.7356376963319957,positive
Characteristics Only,categorical__hospital_ownership_Voluntary non-profit - Church,0.1583133125768115,0.1583133125768115,positive
Characteristics Only,categorical__hospital_ownership_Voluntary non-profit - Other,-0.035622046156449816,0.035622046156449816,negative
Characteristics Only,categorical__hospital_ownership_Voluntary non-profit - Private,0.10429424670206358,0.10429424670206358,positive
Characteristics Only,categorical__emergency_services_No,0.30962316633154874,0.30962316633154874,positive
Characteristics Only,categorical__emergency_services_Yes,-0.23439904246638074,0.23439904246638074,negative
Characteristics Only,categorical__state_AK,-0.7523746244475321,0.7523746244475321,negative
Characteristics Only,categorical__state_AL,-0.6631820470399414,0.6631820470399414,negative
Characteristics Only,categorical__state_AR,-0.7195659256270098,0.7195659256270098,negative
Characteristics Only,categorical__state_AZ,-0.5627488501824611,0.5627488501824611,negative
Characteristics Only,categorical__state_CA,0.12124086427938155,0.12124086427938155,positive
Characteristics Only,categorical__state_CO,1.432060120504926,1.432060120504926,positive
Characteristics Only,categorical__state_CT,0.08692351829391008,0.08692351829391008,positive
Characteristics Only,categorical__state_DC,-0.8322907894956352,0.8322907894956352,negative
Characteristics Only,categorical__state_DE,-0.24991904838489243,0.24991904838489243,negative
Characteristics Only,categorical__state_FL,0.1131247687342419,0.1131247687342419,positive
Characteristics Only,categorical__state_GA,-0.46606532235280007,0.46606532235280007,negative
Characteristics Only,categorical__state_GU,-0.2174630406967235,0.2174630406967235,negative
Characteristics Only,categorical__state_HI,0.09663466968483575,0.09663466968483575,positive
Characteristics Only,categorical__state_IA,0.22602182284742142,0.22602182284742142,positive
Characteristics Only,categorical__state_ID,-0.8738418906286911,0.8738418906286911,negative
Characteristics Only,categorical__state_IL,-0.31156303632439464,0.31156303632439464,negative
Characteristics Only,categorical__state_IN,0.2155912433034625,0.2155912433034625,positive
Characteristics Only,categorical__state_KS,0.38041855756477894,0.38041855756477894,positive
Characteristics Only,categorical__state_KY,-0.7209349786440211,0.7209349786440211,negative
Characteristics Only,categorical__state_LA,-0.5684887602614196,0.5684887602614196,negative
Characteristics Only,categorical__state_MA,-0.15078085088390608,0.15078085088390608,negative
Characteristics Only,categorical__state_MD,-0.35919548024589426,0.35919548024589426,negative
Characteristics Only,categorical__state_ME,-0.2585353000333227,0.2585353000333227,negative
Characteristics Only,categorical__state_MI,-0.1087080646603535,0.1087080646603535,negative
Characteristics Only,categorical__state_MN,0.8219225307097023,0.8219225307097023,positive
Characteristics Only,categorical__state_MO,0.15694685004649248,0.15694685004649248,positive
Characteristics Only,categorical__state_MS,-1.0978684520295754,1.0978684520295754,negative
Characteristics Only,categorical__state_MT,0.1062928134548576,0.1062928134548576,positive
Characteristics Only,categorical__state_NC,0.32981480134385577,0.32981480134385577,positive
Characteristics Only,categorical__state_ND,-0.47731700821288287,0.47731700821288287,negative
Characteristics Only,categorical__state_NE,0.697671553805016,0.697671553805016,positive
